date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:34:11	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225bdde52e-4e9f%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.eot	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.eot	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
17:34:14	20127/20127	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225bdde52e-4e9f%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.eot?	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
17:34:15	23424/23424	---MCZ	200	added ('OK')	application/font-woff	etag:W/%225bdde52e-5b80%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.woff	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.woff	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
17:34:16	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225bdde52e-1a8c2%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.svg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.svg	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
17:34:17	131582/131582	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-201fe%22	http://vongtaygotram.fastbuy.biz/assets/img/sp4.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/sp4.jpg	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:20	97163/97163	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	D:/CPO/vong-tram/main/1/ajax.googleapis.com/ajax/libs/jquery/1.12.4/jquery.min.js	(from http://vongtaygotram.fastbuy.biz/?click_id=5bdecabaf0f79800414e4943&aff_sub1=&aff_sub2=&aff_sub3=&aff_sub4=&fb_pixel_id=2202797166660120&opid=glJJNeHk8chpDWnvVjZc-N7fVQYAysQD8NESuYEAaDs)
17:34:22	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%225bdde52e-b15c%22	http://vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.ttf	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/glyphicons-halflings-regular.ttf	(from http://vongtaygotram.fastbuy.biz/assets/css/bootstrap.min.css)
17:34:24	49356/49356	---M--	200	added ('OK')	application/octet-stream	etag:%225bdde52e-c0cc%22	http://vongtaygotram.fastbuy.biz/assets/fonts/utm-fire-house.ttf	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/utm-fire-house.ttf	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:25	48780/48780	---M--	200	added ('OK')	application/octet-stream	etag:%225bdde52e-be8c%22	http://vongtaygotram.fastbuy.biz/assets/fonts/UTM-Alexander.ttf	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/fonts/UTM-Alexander.ttf	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:25	5143/5143	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-1417%22	http://vongtaygotram.fastbuy.biz/assets/img/bg2.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg2.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:35	57678/57678	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-e14e%22	http://vongtaygotram.fastbuy.biz/assets/img/bg4.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg4.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:36	67761/67761	---M--	200	added ('OK')	image/jpeg	etag:%225bc62a38-108b1%22	http://vongtaygotram.fastbuy.biz/assets/img/bg3.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg3.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
17:34:40	20004/20004	---M--	200	added ('OK')	image/jpeg	etag:%225bc867b6-4e24%22	http://vongtaygotram.fastbuy.biz/assets/img/bg6.jpg	D:/CPO/vong-tram/main/1/vongtaygotram.fastbuy.biz/assets/img/bg6.jpg	(from http://vongtaygotram.fastbuy.biz/assets/css/styles.css?ver=3)
